,algo,startNode/endNode,budget,userID,totalPOI,totalCost,totalProfit,totalInterest,reachEndNode,totalPopInt,maxInterest,minInterest,tour,cluster,groupID
0,clusterOnce,7,163.51700954486938,50034279@N00,5,458.2475006628387,3.4319169483341376,2.3622568630155887,True,2.897086905674863,1.0,0.002896951303628084,7-21-22-7-11-7-23-6-7,random,1.0
1,clusterOnce,7,163.51700954486938,31105156@N08,5,458.2475006628387,3.4319169483341376,2.0,True,2.715958474167069,1.0,0.0,7-21-22-7-11-7-23-6-7,random,1.0
2,clusterOnce,7,163.51700954486938,7262621@N06,5,458.2475006628387,3.4319169483341376,0.0,True,1.7159584741670688,0.0,0.0,7-21-22-7-11-7-23-6-7,random,1.0
3,clusterOnce,7,163.51700954486938,25846522@N00,5,458.2475006628387,3.4319169483341376,5.192204541391025,True,4.312060744862581,1.0,0.05801895226175575,7-21-22-7-11-7-23-6-7,random,1.0
4,clusterOnce,7,163.51700954486938,13918219@N00,5,458.2475006628387,3.4319169483341376,5.0,True,4.215958474167069,1.0,0.0,7-21-22-7-11-7-23-6-7,random,1.0
5,clusterOnce,7,163.51700954486938,43334562@N00,5,458.2475006628387,3.4319169483341376,2.3420963936636334,True,2.8870066709988853,1.0,0.0,7-21-22-7-11-7-23-6-7,random,1.0
6,clusterOnce,7,163.51700954486938,38030421@N08,5,458.2475006628387,3.4319169483341376,0.0,True,1.7159584741670688,0.0,0.0,7-21-22-7-11-7-23-6-7,random,1.0
7,clusterOnce,7,163.51700954486938,35034363039@N01,5,458.2475006628387,3.4319169483341376,5.706170975655784,True,4.569043961994961,1.0,0.03006856639617532,7-21-22-7-11-7-23-6-7,random,1.0
8,clusterOnce,7,163.51700954486938,60597745@N00,5,458.2475006628387,3.4319169483341376,5.073640603725485,True,4.252778776029811,1.0,0.0,7-21-22-7-11-7-23-6-7,random,1.0
9,clusterOnce,7,163.51700954486938,57230884@N02,5,458.2475006628387,3.4319169483341376,4.82,True,4.125958474167069,1.0,0.0,7-21-22-7-11-7-23-6-7,random,1.0
10,clusterOnce,7,163.51700954486938,18378305@N00,5,458.2475006628387,3.4319169483341376,1.0713749060856497,True,2.2516459272098936,1.0,0.0,7-21-22-7-11-7-23-6-7,random,1.0
11,clusterOnce,7,163.51700954486938,64834051@N00,5,458.2475006628387,3.4319169483341376,0.7750589988821267,True,2.1034879736081322,0.15501179977642535,0.0,7-21-22-7-11-7-23-6-7,random,1.0
12,clusterOnce,7,163.51700954486938,69216242@N00,5,458.2475006628387,3.4319169483341376,0.0,True,1.7159584741670688,0.0,0.0,7-21-22-7-11-7-23-6-7,random,1.0
13,clusterOnce,7,163.51700954486938,21491187@N08,5,458.2475006628387,3.4319169483341376,1.8805513016845308,True,2.656234125009334,1.0,0.0,7-21-22-7-11-7-23-6-7,random,1.0
14,clusterOnce,7,163.51700954486938,13411198@N00,5,458.2475006628387,3.4319169483341376,0.0,True,1.7159584741670688,0.0,0.0,7-21-22-7-11-7-23-6-7,random,1.0
15,clusterOnce,7,163.51700954486938,68009656@N00,5,458.2475006628387,3.4319169483341376,2.0,True,2.715958474167069,1.0,0.0,7-21-22-7-11-7-23-6-7,random,1.0
16,clusterOnce,7,163.51700954486938,52215743@N00,5,458.2475006628387,3.4319169483341376,5.0,True,4.215958474167069,1.0,0.0,7-21-22-7-11-7-23-6-7,random,1.0
17,clusterOnce,7,163.51700954486938,49033510@N00,5,458.2475006628387,3.4319169483341376,1.0,True,2.215958474167069,1.0,0.0,7-21-22-7-11-7-23-6-7,random,1.0
18,clusterOnce,7,163.51700954486938,29146273@N03,5,458.2475006628387,3.4319169483341376,7.0,True,5.215958474167069,1.0,0.0,7-21-22-7-11-7-23-6-7,random,1.0
19,clusterOnce,7,163.51700954486938,15580384@N05,5,458.2475006628387,3.4319169483341376,0.0,True,1.7159584741670688,0.0,0.0,7-21-22-7-11-7-23-6-7,random,1.0
20,clusterOnce,7,163.51700954486938,11191102@N07,5,458.2475006628387,3.4319169483341376,1.5740215167315685,True,2.502969232532853,1.0,0.07240446175169953,7-21-22-7-11-7-23-6-7,random,2.0
21,clusterOnce,7,163.51700954486938,27124254@N00,5,458.2475006628387,3.4319169483341376,5.0,True,4.215958474167069,1.0,0.0,7-21-22-7-11-7-23-6-7,random,2.0
22,clusterOnce,7,163.51700954486938,14816925@N00,5,458.2475006628387,3.4319169483341376,1.924733291496711,True,2.6783251199154243,0.2571383746470043,0.20285534985880194,7-21-22-7-11-7-23-6-7,random,2.0
23,clusterOnce,7,163.51700954486938,26761048@N05,5,458.2475006628387,3.4319169483341376,1.0,True,2.215958474167069,1.0,0.0,7-21-22-7-11-7-23-6-7,random,2.0
24,clusterOnce,7,163.51700954486938,31349854@N00,5,458.2475006628387,3.4319169483341376,0.0,True,1.7159584741670688,0.0,0.0,7-21-22-7-11-7-23-6-7,random,2.0
25,clusterOnce,7,163.51700954486938,18983894@N00,5,458.2475006628387,3.4319169483341376,5.007633587786259,True,4.219775268060198,1.0,0.0,7-21-22-7-11-7-23-6-7,random,2.0
26,clusterOnce,7,163.51700954486938,55929357@N00,5,458.2475006628387,3.4319169483341376,2.0,True,2.715958474167069,1.0,0.0,7-21-22-7-11-7-23-6-7,random,2.0
27,clusterOnce,7,163.51700954486938,54058921@N00,5,458.2475006628387,3.4319169483341376,5.0,True,4.215958474167069,1.0,0.0,7-21-22-7-11-7-23-6-7,random,2.0
