,cluster,totalPopInt,maxInterest,minInterest,budget,startNode,iter
0,kMeans,3.2667128549843287,1.0,0.011010371617036743,163.51700954486938,7,1
1,random,2.9260033764786617,0.7421514532735148,0.013737659384037926,163.51700954486938,7,1
2,randomByDay,2.917147483065964,0.7900312001089579,0.008223512548131286,163.51700954486938,7,1
0,kMeans,2.272037584920729,0.9928979682964948,0.03525401082637096,131.1032450169192,28,2
1,random,1.9309881388985202,0.7568676707844131,0.003643330692542634,131.1032450169192,28,2
2,randomByDay,1.9359216952068434,0.7726548094827954,0.007310141030719739,131.1032450169192,28,2
0,kMeans,3.0929954665683557,0.9968725585512981,0.01965238216115374,175.39161295480196,22,3
1,random,2.8124066835974166,0.7887368276762095,0.002721049986391121,175.39161295480196,22,3
2,randomByDay,2.7555644748823913,0.7697617875844572,0.0027267114319468855,175.39161295480196,22,3
0,kMeans,2.415878285928662,0.9015772818607977,0.004971845397041047,142.42489560826084,3,4
1,random,2.1162320242465986,0.6778477501986157,0.004971845397041047,142.42489560826084,3,4
2,randomByDay,1.8964353412119934,0.6959527369287052,0.008263037156103773,142.42489560826084,3,4
0,kMeans,2.75420423066063,0.9964128112818451,0.006022992619928903,144.2432965064957,21,5
1,random,2.4916410233184156,0.795763653820518,0.006022992619928904,144.2432965064957,21,5
2,randomByDay,2.3708833571115977,0.8415336790891997,0.002499667448299122,144.2432965064957,21,5
0,kMeans,3.742194302747336,1.0,0.0007690035743743098,217.05697527610005,3,6
1,random,3.3879503047727235,0.9455501935123217,0.0006203608891686767,217.05697527610005,3,6
2,randomByDay,3.3564526200851827,1.0,0.000619088462651308,217.05697527610005,3,6
0,kMeans,4.015118867686224,1.0,0.002331165188473179,228.65526639025336,16,7
1,random,3.6808739940887136,0.9257433200706267,0.0016071205709561835,228.65526639025336,16,7
2,randomByDay,3.4101813647971726,0.9764245965767506,0.0006401915539770655,228.65526639025336,16,7
0,kMeans,3.4596788935024763,0.9938891036209258,0.015603665352867184,191.26286572076958,27,8
1,random,3.2332482625490644,0.7199965788569943,0.019617759784513696,191.26286572076958,27,8
2,randomByDay,2.75912054179058,0.7878747646722255,0.009278785853362427,191.26286572076958,27,8
0,kMeans,2.7659178931450237,1.0,0.0023453920348327833,143.68558470898716,7,9
1,random,2.421231421243977,0.8069613679591059,0.000905465138519348,143.68558470898716,7,9
2,randomByDay,2.335199403753919,0.8385891891280566,0.001810985632114032,143.68558470898716,7,9
0,kMeans,2.1731054851232674,0.8031293215568566,0.018641844927394357,115.66735841782767,7,10
1,random,1.9573416697962864,0.6380969415987101,0.0065385637594934385,115.66735841782767,7,10
2,randomByDay,1.9725863843528826,0.6382375034417033,0.01615564894963999,115.66735841782767,7,10
